x,ie,t,V,r,w,lbl
3.0586206896551724,1,10,-0.1276091734302949,0.15,5.5,e₁
3.0586206896551724,5,1,-1.4381181839941335,0.15,5.5,e₅
3.0586206896551724,5,2,-1.30879576153482,0.15,5.5,e₅
3.0586206896551724,5,3,-1.1754707026341344,0.15,5.5,e₅
3.0586206896551724,5,4,-1.0379843663269122,0.15,5.5,e₅
3.0586206896551724,5,5,-0.8953952786001924,0.15,5.5,e₅
3.0586206896551724,5,6,-0.7470689830439379,0.15,5.5,e₅
3.0586206896551724,5,7,-0.5934332156827256,0.15,5.5,e₅
3.0586206896551724,5,8,-0.4349636800706933,0.15,5.5,e₅
3.0586206896551724,5,9,-0.2732940454091552,0.15,5.5,e₅
3.0586206896551724,5,10,-0.11382655669738775,0.15,5.5,e₅
3.0586206896551724,10,1,-1.1786737712526763,0.15,5.5,e₁₀
3.0586206896551724,10,2,-1.0711127669077425,0.15,5.5,e₁₀
3.0586206896551724,10,3,-0.960641776078274,0.15,5.5,e₁₀
3.0586206896551724,10,4,-0.8472048625024402,0.15,5.5,e₁₀
3.0586206896551724,10,5,-0.7307447817458657,0.15,5.5,e₁₀
3.0586206896551724,10,6,-0.6104285067992938,0.15,5.5,e₁₀
3.0586206896551724,10,7,-0.4860313292871473,0.15,5.5,e₁₀
3.0586206896551724,10,8,-0.35801065588751935,0.15,5.5,e₁₀
3.0586206896551724,10,9,-0.2273705971758363,0.15,5.5,e₁₀
3.0586206896551724,10,10,-0.09743898066741681,0.15,5.5,e₁₀
3.193103448275862,1,1,-1.6693571331513994,0.15,5.5,e₁
3.193103448275862,1,2,-1.5205769847290453,0.15,5.5,e₁
3.193103448275862,1,3,-1.3666484347722447,0.15,5.5,e₁
3.193103448275862,1,4,-1.2069200587502587,0.15,5.5,e₁
3.193103448275862,1,5,-1.0400598867957436,0.15,5.5,e₁
3.193103448275862,1,6,-0.8662033636454881,0.15,5.5,e₁
3.193103448275862,1,7,-0.6857731347114346,0.15,5.5,e₁
3.193103448275862,1,8,-0.4996116392850435,0.15,5.5,e₁
3.193103448275862,1,9,-0.30999618325833256,0.15,5.5,e₁
3.193103448275862,1,10,-0.12513949313506065,0.15,5.5,e₁
3.193103448275862,5,1,-1.4325896833403933,0.15,5.5,e₅
3.193103448275862,5,2,-1.30326726088108,0.15,5.5,e₅
3.193103448275862,5,3,-1.1699422019803944,0.15,5.5,e₅
3.193103448275862,5,4,-1.032491565863706,0.15,5.5,e₅
3.193103448275862,5,5,-0.8902628614440853,0.15,5.5,e₅
3.193103448275862,5,6,-0.7423433497892168,0.15,5.5,e₅
3.193103448275862,5,7,-0.5890821637767109,0.15,5.5,e₅
3.193103448275862,5,8,-0.4311867110888854,0.15,5.5,e₅
3.193103448275862,5,9,-0.27019930159731975,0.15,5.5,e₅
3.193103448275862,5,10,-0.11185743345555094,0.15,5.5,e₅
3.193103448275862,10,1,-1.1752374780099168,0.15,5.5,e₁₀
3.193103448275862,10,2,-1.0676764736649829,0.15,5.5,e₁₀
3.193103448275862,10,3,-0.9572054828355143,0.15,5.5,e₁₀
3.193103448275862,10,4,-0.8437685692596806,0.15,5.5,e₁₀
3.193103448275862,10,5,-0.7273124023213627,0.15,5.5,e₁₀
3.193103448275862,10,6,-0.6072520391869038,0.15,5.5,e₁₀
3.193103448275862,10,7,-0.48313905396427104,0.15,5.5,e₁₀
3.193103448275862,10,8,-0.3554483422657939,0.15,5.5,e₁₀
3.193103448275862,10,9,-0.22520824315622648,0.15,5.5,e₁₀
3.193103448275862,10,10,-0.09599242830259973,0.15,5.5,e₁₀
3.3275862068965516,1,1,-1.661660206772833,0.15,5.5,e₁
3.3275862068965516,1,2,-1.512880058350479,0.15,5.5,e₁
3.3275862068965516,1,3,-1.358951508393679,0.15,5.5,e₁
3.3275862068965516,1,4,-1.1995156413418968,0.15,5.5,e₁
3.3275862068965516,1,5,-1.0331436463098953,0.15,5.5,e₁
3.3275862068965516,1,6,-0.8598546062293568,0.15,5.5,e₁
3.3275862068965516,1,7,-0.680044505596898,0.15,5.5,e₁
3.3275862068965516,1,8,-0.4945728354332784,0.15,5.5,e₁
3.3275862068965516,1,9,-0.3059849085211094,0.15,5.5,e₁
3.3275862068965516,1,10,-0.12276359166068743,0.15,5.5,e₁
3.3275862068965516,5,1,-1.427257784882552,0.15,5.5,e₅
3.3275862068965516,5,2,-1.2979353624232388,0.15,5.5,e₅
3.3275862068965516,5,3,-1.1646103035225532,0.15,5.5,e₅
3.3275862068965516,5,4,-1.0271596674058647,0.15,5.5,e₅
3.3275862068965516,5,5,-0.8851876153738125,0.15,5.5,e₅
